File ID ,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,Cell
PcB_Recip_T0_030222,R1,PcB,23c,Control,,T0,2179,1,2179,A01
PcB_Recip_T0_030222,R2,PcB,23c,Control,,T0 ,2108,1,2108,A02
PcB_Recip_T0_030222,R3,PcB,23c,Control,,T0,2067,1,2067,A03
PcB_Recip_T0_030222,R4,PcB,23c,Control,,T0,2125,1,2125,A04
PcB_Recip_T0_030222,R5,PcB,23c,Control,,T0,2015,1,2015,A05
PcB_Recip_T0_030222,R6,PcB,23c,Control,,T0,2102,1,2102,A06
PcB_Recip_T0_030222,R1,PcB,29c,Control,,T0,2137,1,2137,A07
PcB_Recip_T0_030222,R2,PcB,29c,Control,,T0,1939,1,1939,A08
PcB_Recip_T0_030222,R3,PcB,29c,Control,,T0,1961,1,1961,A09
PcB_Recip_T0_030222,R4,PcB,29c,Control,,T0,2107,1,2107,A10
PcB_Recip_T0_030222,R5,PcB,29c,Control,,T0,2067,1,2067,A11
PcB_Recip_T0_030222,R6,PcB,29c,Control,,T0,1992,1,1992,A12
PcB_Recip_T0_030222,R1,PcB,23c,recip,29,T0,1965,1,1965,B01
PcB_Recip_T0_030222,R2,PcB,23c,recip,29,T0,1894,1,1894,B02
PcB_Recip_T0_030222,R3,PcB,23c,recip,29,T0,2057,1,2057,B03
PcB_Recip_T0_030222,R4,PcB,23c,recip,29,T0,2081,1,2081,B04
PcB_Recip_T0_030222,R5,PcB,23c,recip,29,T0,2162,1,2162,B05
PcB_Recip_T0_030222,R6,PcB,23c,recip,29,T0,2112,1,2112,B06
PcB_Recip_T0_030222,R1,PcB,29c,recip,23,T0,1954,1,1954,B07
PcB_Recip_T0_030222,R2,PcB,29c,recip,23,T0,2004,1,2004,B08
PcB_Recip_T0_030222,R3,PcB,29c,recip,23,T0,1999,1,1999,B09
PcB_Recip_T0_030222,R4,PcB,29c,recip,23,T0,2092,1,2092,B10
PcB_Recip_T0_030222,R5,PcB,29c,recip,23,T0,2098,1,2098,B11
PcB_Recip_T0_030222,R6,PcB,29c,recip,23,T0,2022,1,2022,B12
PcB_Recip_T1_040222,R1,PcB,23c,Control,,#REF!,2989,1,2989,A01
PcB_Recip_T1_040222,R2,PcB,23c,Control,,#REF!,2810,1,2810,A02
PcB_Recip_T1_040222,R3,PcB,23c,Control,,#REF!,2885,1,2885,A03
PcB_Recip_T1_040222,R4,PcB,23c,Control,,#REF!,3030,1,3030,A04
PcB_Recip_T1_040222,R5,PcB,23c,Control,,#REF!,2884,1,2884,A05
PcB_Recip_T1_040222,R6,PcB,23c,Control,,#REF!,2974,1,2974,A06
PcB_Recip_T1_040222,R1,PcB,29c,Control,,#REF!,2937,1,2937,A07
PcB_Recip_T1_040222,R2,PcB,29c,Control,,#REF!,2630,1,2630,A08
PcB_Recip_T1_040222,R3,PcB,29c,Control,,#REF!,2133,1,2133,A09
PcB_Recip_T1_040222,R4,PcB,29c,Control,,#REF!,2782,1,2782,A10
PcB_Recip_T1_040222,R5,PcB,29c,Control,,#REF!,2444,1,2444,A11
PcB_Recip_T1_040222,R6,PcB,29c,Control,,#REF!,1942,1,1942,A12
PcB_Recip_T1_040222,R1,PcB,23c,recip,29,#REF!,2939,1,2939,B01
PcB_Recip_T1_040222,R2,PcB,23c,recip,29,#REF!,2969,1,2969,B02
PcB_Recip_T1_040222,R3,PcB,23c,recip,29,#REF!,3022,1,3022,B03
PcB_Recip_T1_040222,R4,PcB,23c,recip,29,#REF!,2788,1,2788,B04
PcB_Recip_T1_040222,R5,PcB,23c,recip,29,#REF!,2897,1,2897,B05
PcB_Recip_T1_040222,R6,PcB,23c,recip,29,#REF!,3228,1,3228,B06
PcB_Recip_T1_040222,R1,PcB,29c,recip,23,#REF!,2735,1,2735,B07
PcB_Recip_T1_040222,R2,PcB,29c,recip,23,#REF!,2700,1,2700,B08
PcB_Recip_T1_040222,R3,PcB,29c,recip,23,#REF!,2664,1,2664,B09
PcB_Recip_T1_040222,R4,PcB,29c,recip,23,#REF!,2845,1,2845,B10
PcB_Recip_T1_040222,R5,PcB,29c,recip,23,#REF!,2902,1,2902,B11
PcB_Recip_T1_040222,R6,PcB,29c,recip,23,#REF!,2757,1,2757,B12
PcB_Recip_T2_050222,R1,PcB,23c,Control,,T2,6326,1,6326,A01
PcB_Recip_T2_050222,R2,PcB,23c,Control,,T2,5795,1,5795,A02
PcB_Recip_T2_050222,R3,PcB,23c,Control,,T2,6483,1,6483,A03
PcB_Recip_T2_050222,R4,PcB,23c,Control,,T2,6178,1,6178,A04
PcB_Recip_T2_050222,R5,PcB,23c,Control,,T2,6513,1,6513,A05
PcB_Recip_T2_050222,R6,PcB,23c,Control,,T2,6263,1,6263,A06
PcB_Recip_T2_050222,R1,PcB,29c,Control,,T2,5460,1,5460,A07
PcB_Recip_T2_050222,R2,PcB,29c,Control,,T2,4487,1,4487,A08
PcB_Recip_T2_050222,R3,PcB,29c,Control,,T2,3898,1,3898,A09
PcB_Recip_T2_050222,R4,PcB,29c,Control,,T2,4901,1,4901,A10
PcB_Recip_T2_050222,R5,PcB,29c,Control,,T2,4010,1,4010,A11
PcB_Recip_T2_050222,R6,PcB,29c,Control,,T2,2780,1,2780,A12
PcB_Recip_T2_050222,R1,PcB,23c,recip,29,T2,6239,1,6239,B01
PcB_Recip_T2_050222,R2,PcB,23c,recip,29,T2,6120,1,6120,B02
PcB_Recip_T2_050222,R3,PcB,23c,recip,29,T2,5964,1,5964,B03
PcB_Recip_T2_050222,R4,PcB,23c,recip,29,T2,6038,1,6038,B04
PcB_Recip_T2_050222,R5,PcB,23c,recip,29,T2,6078,1,6078,B05
PcB_Recip_T2_050222,R6,PcB,23c,recip,29,T2,6673,1,6673,B06
PcB_Recip_T2_050222,R1,PcB,29c,recip,23,T2,5322,1,5322,B07
PcB_Recip_T2_050222,R2,PcB,29c,recip,23,T2,4574,1,4574,B08
PcB_Recip_T2_050222,R3,PcB,29c,recip,23,T2,5150,1,5150,B09
PcB_Recip_T2_050222,R4,PcB,29c,recip,23,T2,5307,1,5307,B10
PcB_Recip_T2_050222,R5,PcB,29c,recip,23,T2,5507,1,5507,B11
PcB_Recip_T2_050222,R6,PcB,29c,recip,23,T2,4967,1,4967,B12
PcB_Recip_T3_060222,R1,PcB,23c,Control,,T3,10514,1,10514,A01
PcB_Recip_T3_060222,R2,PcB,23c,Control,,T3,9460,1,9460,A02
PcB_Recip_T3_060222,R3,PcB,23c,Control,,T3,10375,1,10375,A03
PcB_Recip_T3_060222,R4,PcB,23c,Control,,T3,10427,1,10427,A04
PcB_Recip_T3_060222,R5,PcB,23c,Control,,T3,10523,1,10523,A05
PcB_Recip_T3_060222,R6,PcB,23c,Control,,T3,10537,1,10537,A06
PcB_Recip_T3_060222,R1,PcB,29c,Control,,T3,8110,1,8110,A07
PcB_Recip_T3_060222,R2,PcB,29c,Control,,T3,7103,1,7103,A08
PcB_Recip_T3_060222,R3,PcB,29c,Control,,T3,5387,1,5387,A09
PcB_Recip_T3_060222,R4,PcB,29c,Control,,T3,7049,1,7049,A10
PcB_Recip_T3_060222,R5,PcB,29c,Control,,T3,5585,1,5585,A11
PcB_Recip_T3_060222,R6,PcB,29c,Control,,T3,3383,1,3383,A12
PcB_Recip_T3_060222,R1,PcB,23c,recip,29,T3,9806,1,9806,B01
PcB_Recip_T3_060222,R2,PcB,23c,recip,29,T3,10132,1,10132,B02
PcB_Recip_T3_060222,R3,PcB,23c,recip,29,T3,9741,1,9741,B03
PcB_Recip_T3_060222,R4,PcB,23c,recip,29,T3,9480,1,9480,B04
PcB_Recip_T3_060222,R5,PcB,23c,recip,29,T3,9943,1,9943,B05
PcB_Recip_T3_060222,R6,PcB,23c,recip,29,T3,10583,1,10583,B06
PcB_Recip_T3_060222,R1,PcB,29c,recip,23,T3,7393,1,7393,B07
PcB_Recip_T3_060222,R2,PcB,29c,recip,23,T3,6282,1,6282,B08
PcB_Recip_T3_060222,R3,PcB,29c,recip,23,T3,7411,1,7411,B09
PcB_Recip_T3_060222,R4,PcB,29c,recip,23,T3,7463,1,7463,B10
PcB_Recip_T3_060222,R5,PcB,29c,recip,23,T3,7775,1,7775,B11
PcB_Recip_T3_060222,R6,PcB,29c,recip,23,T3,6983,1,6983,B12
PcB_Recip_T4_070222,R1,PcB,23c,Control,,T4,19890,1,19890,A01
PcB_Recip_T4_070222,R2,PcB,23c,Control,,T4,17447,1,17447,A02
PcB_Recip_T4_070222,R3,PcB,23c,Control,,T4,18835,1,18835,A03
PcB_Recip_T4_070222,R4,PcB,23c,Control,,T4,18158,1,18158,A04
PcB_Recip_T4_070222,R5,PcB,23c,Control,,T4,19622,1,19622,A05
PcB_Recip_T4_070222,R6,PcB,23c,Control,,T4,18836,1,18836,A06
PcB_Recip_T4_070222,R1,PcB,29c,Control,,T4,12866,1,12866,A07
PcB_Recip_T4_070222,R2,PcB,29c,Control,,T4,10661,1,10661,A08
PcB_Recip_T4_070222,R3,PcB,29c,Control,,T4,7922,1,7922,A09
PcB_Recip_T4_070222,R4,PcB,29c,Control,,T4,11340,1,11340,A10
PcB_Recip_T4_070222,R5,PcB,29c,Control,,T4,8719,1,8719,A11
PcB_Recip_T4_070222,R6,PcB,29c,Control,,T4,4768,1,4768,A12
PcB_Recip_T4_070222,R1,PcB,23c,recip,29,T4,18036,1,18036,B01
PcB_Recip_T4_070222,R2,PcB,23c,recip,29,T4,17170,1,17170,B02
PcB_Recip_T4_070222,R3,PcB,23c,recip,29,T4,17336,1,17336,B03
PcB_Recip_T4_070222,R4,PcB,23c,recip,29,T4,17274,1,17274,B04
PcB_Recip_T4_070222,R5,PcB,23c,recip,29,T4,18068,1,18068,B05
PcB_Recip_T4_070222,R6,PcB,23c,recip,29,T4,18243,1,18243,B06
PcB_Recip_T4_070222,R1,PcB,29c,recip,23,T4,10938,1,10938,B07
PcB_Recip_T4_070222,R2,PcB,29c,recip,23,T4,8831,1,8831,B08
PcB_Recip_T4_070222,R3,PcB,29c,recip,23,T4,11251,1,11251,B09
PcB_Recip_T4_070222,R4,PcB,29c,recip,23,T4,11793,1,11793,B10
PcB_Recip_T4_070222,R5,PcB,29c,recip,23,T4,12288,1,12288,B11
PcB_Recip_T4_070222,R6,PcB,29c,recip,23,T4,11094,1,11094,B12
PcB_Recip_T5_080222,R1,PcB,23c,Control,,T5,32268,1,32268,A01
PcB_Recip_T5_080222,R2,PcB,23c,Control,,T5,31704,1,31704,A02
PcB_Recip_T5_080222,R3,PcB,23c,Control,,T5,31320,1,31320,A03
PcB_Recip_T5_080222,R4,PcB,23c,Control,,T5,33597,1,33597,A04
PcB_Recip_T5_080222,R5,PcB,23c,Control,,T5,35076,1,35076,A05
PcB_Recip_T5_080222,R6,PcB,23c,Control,,T5,34407,1,34407,A06
PcB_Recip_T5_080222,R1,PcB,29c,Control,,T5,17836,1,17836,A07
PcB_Recip_T5_080222,R2,PcB,29c,Control,,T5,17240,1,17240,A08
PcB_Recip_T5_080222,R3,PcB,29c,Control,,T5,12748,1,12748,A09
PcB_Recip_T5_080222,R4,PcB,29c,Control,,T5,16435,1,16435,A10
PcB_Recip_T5_080222,R5,PcB,29c,Control,,T5,12894,1,12894,A11
PcB_Recip_T5_080222,R6,PcB,29c,Control,,T5,7384,1,7384,A12
PcB_Recip_T5_080222,R1,PcB,23c,recip,29,T5,31051,1,31051,B01
PcB_Recip_T5_080222,R2,PcB,23c,recip,29,T5,30770,1,30770,B02
PcB_Recip_T5_080222,R3,PcB,23c,recip,29,T5,32437,1,32437,B03
PcB_Recip_T5_080222,R4,PcB,23c,recip,29,T5,29192,1,29192,B04
PcB_Recip_T5_080222,R5,PcB,23c,recip,29,T5,27457,1,27457,B05
PcB_Recip_T5_080222,R6,PcB,23c,recip,29,T5,30390,1,30390,B06
PcB_Recip_T5_080222,R1,PcB,29c,recip,23,T5,16785,1,16785,B07
PcB_Recip_T5_080222,R2,PcB,29c,recip,23,T5,12000,1,12000,B08
PcB_Recip_T5_080222,R3,PcB,29c,recip,23,T5,8350,1,8350,B09
PcB_Recip_T5_080222,R4,PcB,29c,recip,23,T5,16433,1,16433,B10
PcB_Recip_T5_080222,R5,PcB,29c,recip,23,T5,15865,1,15865,B11
PcB_Recip_T5_080222,R6,PcB,29c,recip,23,T5,10336,1,10336,B12
PcB_Recip_T6_090222,R1,PcB,23c,Control,,T6,66394,1,66394,A01
PcB_Recip_T6_090222,R2,PcB,23c,Control,,T6,58157,1,58157,A02
PcB_Recip_T6_090222,R3,PcB,23c,Control,,T6,65729,1,65729,A03
PcB_Recip_T6_090222,R4,PcB,23c,Control,,T6,63294,1,63294,A04
PcB_Recip_T6_090222,R5,PcB,23c,Control,,T6,69546,1,69546,A05
PcB_Recip_T6_090222,R6,PcB,23c,Control,,T6,66171,1,66171,A06
PcB_Recip_T6_090222,R1,PcB,29c,Control,,T6,35322,1,35322,A07
PcB_Recip_T6_090222,R2,PcB,29c,Control,,T6,29788,1,29788,A08
PcB_Recip_T6_090222,R3,PcB,29c,Control,,T6,21674,1,21674,A09
PcB_Recip_T6_090222,R4,PcB,29c,Control,,T6,30978,1,30978,A10
PcB_Recip_T6_090222,R5,PcB,29c,Control,,T6,23532,1,23532,A11
PcB_Recip_T6_090222,R6,PcB,29c,Control,,T6,11981,1,11981,A12
PcB_Recip_T6_090222,R1,PcB,23c,recip,29,T6,62790,1,62790,B01
PcB_Recip_T6_090222,R2,PcB,23c,recip,29,T6,61913,1,61913,B02
PcB_Recip_T6_090222,R3,PcB,23c,recip,29,T6,61067,1,61067,B03
PcB_Recip_T6_090222,R4,PcB,23c,recip,29,T6,58334,1,58334,B04
PcB_Recip_T6_090222,R5,PcB,23c,recip,29,T6,61573,1,61573,B05
PcB_Recip_T6_090222,R6,PcB,23c,recip,29,T6,63954,1,63954,B06
PcB_Recip_T6_090222,R1,PcB,29c,recip,23,T6,27564,1,27564,B07
PcB_Recip_T6_090222,R2,PcB,29c,recip,23,T6,21014,1,21014,B08
PcB_Recip_T6_090222,R3,PcB,29c,recip,23,T6,29278,1,29278,B09
PcB_Recip_T6_090222,R4,PcB,29c,recip,23,T6,28425,1,28425,B10
PcB_Recip_T6_090222,R5,PcB,29c,recip,23,T6,30004,1,30004,B11
PcB_Recip_T6_090222,R6,PcB,29c,recip,23,T6,29217,1,29217,B12
PcB_Recip_T7_100222,R1,PcB,23c,Control,,T7,123562,1,123562,A01
PcB_Recip_T7_100222,R2,PcB,23c,Control,,T7,106124,1,106124,A02
PcB_Recip_T7_100222,R3,PcB,23c,Control,,T7,118100,1,118100,A03
PcB_Recip_T7_100222,R4,PcB,23c,Control,,T7,117599,1,117599,A04
PcB_Recip_T7_100222,R5,PcB,23c,Control,,T7,128262,1,128262,A05
PcB_Recip_T7_100222,R6,PcB,23c,Control,,T7,124703,1,124703,A06
PcB_Recip_T7_100222,R1,PcB,29c,Control,,T7,58668,1,58668,A07
PcB_Recip_T7_100222,R2,PcB,29c,Control,,T7,49210,1,49210,A08
PcB_Recip_T7_100222,R3,PcB,29c,Control,,T7,35938,1,35938,A09
PcB_Recip_T7_100222,R4,PcB,29c,Control,,T7,51868,1,51868,A10
PcB_Recip_T7_100222,R5,PcB,29c,Control,,T7,39178,1,39178,A11
PcB_Recip_T7_100222,R6,PcB,29c,Control,,T7,19236,1,19236,A12
PcB_Recip_T7_100222,R1,PcB,23c,recip,29,T7,123760,1,123760,B01
PcB_Recip_T7_100222,R2,PcB,23c,recip,29,T7,117365,1,117365,B02
PcB_Recip_T7_100222,R3,PcB,23c,recip,29,T7,114631,1,114631,B03
PcB_Recip_T7_100222,R4,PcB,23c,recip,29,T7,111215,1,111215,B04
PcB_Recip_T7_100222,R5,PcB,23c,recip,29,T7,120061,1,120061,B05
PcB_Recip_T7_100222,R6,PcB,23c,recip,29,T7,120085,1,120085,B06
PcB_Recip_T7_100222,R1,PcB,29c,recip,23,T7,44607,1,44607,B07
PcB_Recip_T7_100222,R2,PcB,29c,recip,23,T7,33776,1,33776,B08
PcB_Recip_T7_100222,R3,PcB,29c,recip,23,T7,47754,1,47754,B09
PcB_Recip_T7_100222,R4,PcB,29c,recip,23,T7,48148,1,48148,B10
PcB_Recip_T7_100222,R5,PcB,29c,recip,23,T7,50210,1,50210,B11
PcB_Recip_T7_100222,R6,PcB,29c,recip,23,T7,49877,1,49877,B12
PcB_Recip_T8_110222,R1,PcB,23c,Control,,T8,28344,10,283440,A01
PcB_Recip_T8_110222,R2,PcB,23c,Control,,T8,23183,10,231830,A02
PcB_Recip_T8_110222,R3,PcB,23c,Control,,T8,27447,10,274470,A03
PcB_Recip_T8_110222,R4,PcB,23c,Control,,T8,26858,10,268580,A04
PcB_Recip_T8_110222,R5,PcB,23c,Control,,T8,29819,10,298190,A05
PcB_Recip_T8_110222,R6,PcB,23c,Control,,T8,27945,10,279450,A06
PcB_Recip_T8_110222,R1,PcB,29c,Control,,T8,109430,1,109430,A07
PcB_Recip_T8_110222,R2,PcB,29c,Control,,T8,95043,1,95043,A08
PcB_Recip_T8_110222,R3,PcB,29c,Control,,T8,65627,1,65627,A09
PcB_Recip_T8_110222,R4,PcB,29c,Control,,T8,97438,1,97438,A10
PcB_Recip_T8_110222,R5,PcB,29c,Control,,T8,72181,1,72181,A11
