File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count
Pc_TPC_T8_261021,R2,29c,PcB,T8,21085,1,21085
Pc_TPC_T8_261021,R3,29c,PcB,T8,22870,1,22870
Pc_TPC_T8_261021,R1,30c,PcB,T8,420,1,420
Pc_TPC_T8_261021,R2,30c,PcB,T8,419,1,419
Pc_TPC_T8_261021,R3,30c,PcB,T8,416,1,416
Pc_TPC_T9_271021,R1,15c,PcB,T9,2015,1,2015
Pc_TPC_T9_271021,R2,15c,PcB,T9,2019,1,2019
Pc_TPC_T9_271021,R3,15c,PcB,T9,2142,1,2142
Pc_TPC_T9_271021,R1,18c,PcB,T9,28170,1,28170
Pc_TPC_T9_271021,R2,18c,PcB,T9,20036,1,20036
Pc_TPC_T9_271021,R3,18c,PcB,T9,24351,1,24351
Pc_TPC_T9_271021,R1,20c,PcB,T9,137367,1,137367
Pc_TPC_T9_271021,R2,20c,PcB,T9,120107,1,120107
Pc_TPC_T9_271021,R3,20c,PcB,T9,96514,1,96514
Pc_TPC_T9_271021,R1,23c,PcB,T9,8230,10,82300
Pc_TPC_T9_271021,R2,23c,PcB,T9,21952,10,219520
Pc_TPC_T9_271021,R3,23c,PcB,T9,24416,10,244160
Pc_TPC_T9_271021,R1,25c,PcB,T9,24022,10,240220
Pc_TPC_T9_271021,R2,25c,PcB,T9,31338,10,313380
Pc_TPC_T9_271021,R3,25c,PcB,T9,40736,10,407360
Pc_TPC_T9_271021,R1,27c,PcB,T9,109229,1,109229
Pc_TPC_T9_271021,R2,27c,PcB,T9,76552,1,76552
Pc_TPC_T9_271021,R3,27c,PcB,T9,107739,1,107739
Pc_TPC_T9_271021,R1,29c,PcB,T9,24075,1,24075
Pc_TPC_T9_271021,R2,29c,PcB,T9,29244,1,29244
Pc_TPC_T9_271021,R3,29c,PcB,T9,32595,1,32595
Pc_TPC_T9_271021,R1,30c,PcB,T9,419,1,419
Pc_TPC_T9_271021,R2,30c,PcB,T9,294,1,294
Pc_TPC_T9_271021,R3,30c,PcB,T9,424,1,424
Pc_TPC_T10_281021,R1,15c,PcB,T10,2480,1,2480
Pc_TPC_T10_281021,R2,15c,PcB,T10,2290,1,2290
Pc_TPC_T10_281021,R3,15c,PcB,T10,2042,1,2042
Pc_TPC_T10_281021,R1,18c,PcB,T10,40943,1,40943
Pc_TPC_T10_281021,R2,18c,PcB,T10,29490,1,29490
Pc_TPC_T10_281021,R3,18c,PcB,T10,37202,1,37202
Pc_TPC_T10_281021,R1,20c,PcB,T10,26178,10,261780
Pc_TPC_T10_281021,R2,20c,PcB,T10,23199,10,231990
Pc_TPC_T10_281021,R3,20c,PcB,T10,18243,10,182430
Pc_TPC_T10_281021,R1,23c,PcB,T10,13978,10,139780
Pc_TPC_T10_281021,R2,23c,PcB,T10,51388,10,513880
Pc_TPC_T10_281021,R3,23c,PcB,T10,52719,10,527190
Pc_TPC_T10_281021,R1,25c,PcB,T10,47408,10,474080
Pc_TPC_T10_281021,R2,25c,PcB,T10,73149,10,731490
Pc_TPC_T10_281021,R3,25c,PcB,T10,88097,10,880970
Pc_TPC_T10_281021,R1,27c,PcB,T10,22498,10,224980
Pc_TPC_T10_281021,R2,27c,PcB,T10,15238,10,152380
Pc_TPC_T10_281021,R3,27c,PcB,T10,24519,10,245190
Pc_TPC_T10_281021,R1,29c,PcB,T10,47666,1,47666
Pc_TPC_T10_281021,R2,29c,PcB,T10,55155,1,55155
Pc_TPC_T10_281021,R3,29c,PcB,T10,59089,1,59089
Pc_TPC_T10_281021,R1,30c,PcB,T10,505,1,505
Pc_TPC_T10_281021,R2,30c,PcB,T10,429,1,429
Pc_TPC_T10_281021,R3,30c,PcB,T10,485,1,485
Pc_TPC_T11_291021,R1,15c,PcB,T11,2563,1,2563
Pc_TPC_T11_291021,R2,15c,PcB,T11,2438,1,2438
Pc_TPC_T11_291021,R3,15c,PcB,T11,2037,1,2037
Pc_TPC_T11_291021,R1,18c,PcB,T11,62222,1,62222
Pc_TPC_T11_291021,R2,18c,PcB,T11,44445,1,44445
Pc_TPC_T11_291021,R3,18c,PcB,T11,52307,10,523070
Pc_TPC_T11_291021,R1,20c,PcB,T11,42719,10,427190
Pc_TPC_T11_291021,R2,20c,PcB,T11,38685,10,386850
Pc_TPC_T11_291021,R3,20c,PcB,T11,31751,10,317510
Pc_TPC_T11_291021,R1,23c,PcB,T11,21614,10,216140
Pc_TPC_T11_291021,R2,23c,PcB,T11,84572,10,845720
Pc_TPC_T11_291021,R3,23c,PcB,T11,93747,10,937470
Pc_TPC_T11_291021,R1,25c,PcB,T11,80579,10,805790
Pc_TPC_T11_291021,R2,25c,PcB,T11,120573,10,1205730
Pc_TPC_T11_291021,R3,25c,PcB,T11,143482,10,1434820
Pc_TPC_T11_291021,R1,27c,PcB,T11,34993,10,349930
Pc_TPC_T11_291021,R2,27c,PcB,T11,24994,10,249940
Pc_TPC_T11_291021,R3,27c,PcB,T11,40066,1,40066
Pc_TPC_T11_291021,R1,29c,PcB,T11,73973,1,73973
Pc_TPC_T11_291021,R2,29c,PcB,T11,82604,1,82604
Pc_TPC_T11_291021,R3,29c,PcB,T11,89882,1,89882
Pc_TPC_T11_291021,R1,30c,PcB,T11,522,1,522
Pc_TPC_T11_291021,R2,30c,PcB,T11,501,1,501
Pc_TPC_T11_291021,R3,30c,PcB,T11,439,1,439
Pc_TPC_T12_301021,R1,15c,PcB,T12,2456,1,2456
Pc_TPC_T12_301021,R2,15c,PcB,T12,2340,1,2340
Pc_TPC_T12_301021,R3,15c,PcB,T12,2024,1,2024
Pc_TPC_T12_301021,R1,18c,PcB,T12,9237,10,92370
Pc_TPC_T12_301021,R2,18c,PcB,T12,6716,10,67160
Pc_TPC_T12_301021,R3,18c,PcB,T12,8188,10,81880
Pc_TPC_T12_301021,R1,20c,PcB,T12,63642,10,636420
Pc_TPC_T12_301021,R2,20c,PcB,T12,61848,10,618480
Pc_TPC_T12_301021,R3,20c,PcB,T12,50927,10,509270
Pc_TPC_T12_301021,R1,23c,PcB,T12,35355,10,353550
Pc_TPC_T12_301021,R2,23c,PcB,T12,139430,10,1394300
Pc_TPC_T12_301021,R3,23c,PcB,T12,156255,10,1562550
Pc_TPC_T12_301021,R1,25c,PcB,T12,135110,10,1351100
Pc_TPC_T12_301021,R2,25c,PcB,T12,150165,10,1501650
Pc_TPC_T12_301021,R3,25c,PcB,T12,162872,10,1628720
Pc_TPC_T12_301021,R1,27c,PcB,T12,55711,10,557110
Pc_TPC_T12_301021,R2,27c,PcB,T12,43161,10,431610
Pc_TPC_T12_301021,R3,27c,PcB,T12,66557,10,665570
Pc_TPC_T12_301021,R1,29c,PcB,T12,113248,1,113248
Pc_TPC_T12_301021,R2,29c,PcB,T12,127917,1,127917
Pc_TPC_T12_301021,R3,29c,PcB,T12,134865,1,134865
Pc_TPC_T12_301021,R1,30c,PcB,T12,604,1,604
Pc_TPC_T12_301021,R2,30c,PcB,T12,503,1,503
Pc_TPC_T12_301021,R3,30c,PcB,T12,534,1,534
Pc_TPC_T13_311021,R1,15c,PcB,T13,2278,1,2278
Pc_TPC_T13_311021,R2,15c,PcB,T13,2081,1,2081
Pc_TPC_T13_311021,R3,15c,PcB,T13,1777,1,1777
Pc_TPC_T13_311021,R1,18c,PcB,T13,16287,10,162870
Pc_TPC_T13_311021,R2,18c,PcB,T13,11742,10,117420
Pc_TPC_T13_311021,R3,18c,PcB,T13,14745,10,147450
Pc_TPC_T13_311021,R1,20c,PcB,T13,125831,10,1258310
Pc_TPC_T13_311021,R2,20c,PcB,T13,117850,10,1178500
Pc_TPC_T13_311021,R3,20c,PcB,T13,96719,10,967190
Pc_TPC_T13_311021,R1,23c,PcB,T13,7062,100,706200
Pc_TPC_T13_311021,R2,23c,PcB,T13,23331,100,2333100
Pc_TPC_T13_311021,R3,23c,PcB,T13,23875,100,2387500
Pc_TPC_T13_311021,R1,25c,PcB,T13,21379,100,2137900
Pc_TPC_T13_311021,R2,25c,PcB,T13,26860,100,2686000
Pc_TPC_T13_311021,R3,25c,PcB,T13,26241,100,2624100
Pc_TPC_T13_311021,R1,27c,PcB,T13,103599,10,1035990
Pc_TPC_T13_311021,R2,27c,PcB,T13,82023,10,820230
Pc_TPC_T13_311021,R3,27c,PcB,T13,125879,10,1258790
Pc_TPC_T13_311021,R1,29c,PcB,T13,22118,10,221180
Pc_TPC_T13_311021,R2,29c,PcB,T13,25282,10,252820
Pc_TPC_T13_311021,R3,29c,PcB,T13,26208,10,262080
Pc_TPC_T13_311021,R1,30c,PcB,T13,508,1,508
Pc_TPC_T13_311021,R2,30c,PcB,T13,474,1,474
Pc_TPC_T13_311021,R3,30c,PcB,T13,503,1,503
Pc_TPC_T14_011121,R1,15c,PcB,T14,2039,1,2039
Pc_TPC_T14_011121,R2,15c,PcB,T14,1919,1,1919
Pc_TPC_T14_011121,R3,15c,PcB,T14,1623,1,1623
Pc_TPC_T14_011121,R1,18c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,18c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,18c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,20c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,20c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,20c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,23c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,23c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,23c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,25c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,25c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,25c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,27c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,27c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,27c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,29c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R2,29c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R3,29c,PcB,T14,NA,NA,NA
Pc_TPC_T14_011121,R1,30c,PcB,T14,700,1,700
Pc_TPC_T14_011121,R2,30c,PcB,T14,522,1,522
Pc_TPC_T14_011121,R3,30c,PcB,T14,523,1,523
Pc_TPC_T15_021121,R1,15c,PcB,T15,1953,1,1953
Pc_TPC_T15_021121,R2,15c,PcB,T15,1848,1,1848
Pc_TPC_T15_021121,R3,15c,PcB,T15,1808,1,1808
Pc_TPC_T15_021121,R1,18c,PcB,T15,16396,10,163960
Pc_TPC_T15_021121,R2,18c,PcB,T15,20993,10,209930
Pc_TPC_T15_021121,R3,18c,PcB,T15,26271,10,262710
Pc_TPC_T15_021121,R1,20c,PcB,T15,22647,100,2264700
Pc_TPC_T15_021121,R2,20c,PcB,T15,31633,100,3163300
Pc_TPC_T15_021121,R3,20c,PcB,T15,13599,100,1359900
Pc_TPC_T15_021121,R1,23c,PcB,T15,13492,100,1349200
Pc_TPC_T15_021121,R2,23c,PcB,T15,26844,100,2684400
Pc_TPC_T15_021121,R3,23c,PcB,T15,49036,100,4903600
Pc_TPC_T15_021121,R1,25c,PcB,T15,62068,100,6206800
Pc_TPC_T15_021121,R2,25c,PcB,T15,51504,100,5150400
Pc_TPC_T15_021121,R3,25c,PcB,T15,41534,100,4153400
Pc_TPC_T15_021121,R1,27c,PcB,T15,21035,10,210350
Pc_TPC_T15_021121,R2,27c,PcB,T15,20351,10,203510
Pc_TPC_T15_021121,R3,27c,PcB,T15,17135,10,171350
Pc_TPC_T15_021121,R1,29c,PcB,T15,4495,10,44950
Pc_TPC_T15_021121,R2,29c,PcB,T15,5226,10,52260
Pc_TPC_T15_021121,R3,29c,PcB,T15,4449,10,44490
Pc_TPC_T15_021121,R1,30c,PcB,T15,480,1,480
Pc_TPC_T15_021121,R2,30c,PcB,T15,493,1,493
Pc_TPC_T15_021121,R3,30c,PcB,T15,483,1,483
Pc_TPC_T16_031121,R1,15c,PcB,T16,1828,1,1828
Pc_TPC_T16_031121,R2,15c,PcB,T16,1606,1,1606
Pc_TPC_T16_031121,R3,15c,PcB,T16,1441,1,1441
Pc_TPC_T16_031121,R1,18c,PcB,T16,42136,10,421360
Pc_TPC_T16_031121,R2,18c,PcB,T16,30593,10,305930
Pc_TPC_T16_031121,R3,18c,PcB,T16,37327,10,373270
Pc_TPC_T16_031121,R1,20c,PcB,T16,35915,100,3591500
Pc_TPC_T16_031121,R2,20c,PcB,T16,47326,100,4732600
Pc_TPC_T16_031121,R3,20c,PcB,T16,22645,100,2264500
Pc_TPC_T16_031121,R1,23c,PcB,T16,27928,100,2792800
Pc_TPC_T16_031121,R2,23c,PcB,T16,42249,100,4224900
Pc_TPC_T16_031121,R3,23c,PcB,T16,39296,100,3929600
Pc_TPC_T16_031121,R1,25c,PcB,T16,42548,100,4254800
Pc_TPC_T16_031121,R2,25c,PcB,T16,34546,100,3454600
Pc_TPC_T16_031121,R3,25c,PcB,T16,21373,100,2137300
Pc_TPC_T16_031121,R1,27c,PcB,T16,31564,10,315640
Pc_TPC_T16_031121,R2,27c,PcB,T16,21586,10,215860
Pc_TPC_T16_031121,R3,27c,PcB,T16,16635,10,166350
Pc_TPC_T16_031121,R1,29c,PcB,T16,58571,10,585710
Pc_TPC_T16_031121,R2,29c,PcB,T16,66676,10,666760
Pc_TPC_T16_031121,R3,29c,PcB,T16,67223,10,672230
Pc_TPC_T16_031121,R1,30c,PcB,T16,478,1,478
Pc_TPC_T16_031121,R2,30c,PcB,T16,524,1,524
Pc_TPC_T16_031121,R3,30c,PcB,T16,528,1,528
,,,,,,,
,0,1,BLANK,T0,578,1,578
,0,2,BLANK,T0,589,1,589
,0,3,BLANK,T0,591,1,591