File ID,Rep ID,Treatment,Spp,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,Cell
Pc D_TPC_T0_121121,R1,15c,PcD,T0,1478,1,1478,,,,,A01
Pc D_TPC_T0_121121,R2,15c,PcD,T0,1511,1,1511,,,,,A02
Pc D_TPC_T0_121121,R3,15c,PcD,T0,1477,1,1477,,,,,A03
Pc D_TPC_T0_121121,R1,18c,PcD,T0,1436,1,1436,,,,,B01
Pc D_TPC_T0_121121,R2,18c,PcD,T0,1562,1,1562,,,,,B02
Pc D_TPC_T0_121121,R3,18c,PcD,T0,1518,1,1518,,,,,B03
Pc D_TPC_T0_121121,R1,20c,PcD,T0,1612,1,1612,,,,,C01
Pc D_TPC_T0_121121,R2,20c,PcD,T0,1575,1,1575,,,,,C02
Pc D_TPC_T0_121121,R3,20c,PcD,T0,1603,1,1603,,,,,C03
Pc D_TPC_T0_121121,R1,23c,PcD,T0,1446,1,1446,,,,,D02
Pc D_TPC_T0_121121,R2,23c,PcD,T0,1485,1,1485,,,,,D02
Pc D_TPC_T0_121121,R3,23c,PcD,T0,1407,1,1407,,,,,D03
Pc D_TPC_T0_121121,R1,25c,PcD,T0,1619,1,1619,,,,,E01
Pc D_TPC_T0_121121,R2,25c,PcD,T0,1658,1,1658,,,,,E02
Pc D_TPC_T0_121121,R3,25c,PcD,T0,1631,1,1631,,,,,E03
Pc D_TPC_T0_121121,R1,27c,PcD,T0,1448,1,1448,,,,,F01
Pc D_TPC_T0_121121,R2,27c,PcD,T0,1513,1,1513,,,,,F02
Pc D_TPC_T0_121121,R3,27c,PcD,T0,1552,1,1552,,,,,F03
Pc D_TPC_T0_121121,R1,29c,PcD,T0,482,1,482,,,,,G01
Pc D_TPC_T0_121121,R2,29c,PcD,T0,478,1,478,,,,,G02
Pc D_TPC_T0_121121,R3,29c,PcD,T0,485,1,485,,,,,G03
Pc D_TPC_T0_121121,R1,30c,PcD,T0,489,1,489,,,,,H01
Pc D_TPC_T0_121121,R2,30c,PcD,T0,496,1,496,,,,,H02
Pc D_TPC_T0_121121,R3,30c,PcD,T0,459,1,459,,,,,H03
Pc D_TPC_T1_131121,R1,15c,PcD,T1,2105,1,2105,,,,,A01
Pc D_TPC_T1_131121,R2,15c,PcD,T1,2162,1,2162,,,,,A02
Pc D_TPC_T1_131121,R3,15c,PcD,T1,2412,1,2412,,,,,A03
Pc D_TPC_T1_131121,R1,18c,PcD,T1,2414,1,2414,,,,,B01
Pc D_TPC_T1_131121,R2,18c,PcD,T1,2399,1,2399,,,,,B02
Pc D_TPC_T1_131121,R3,18c,PcD,T1,2406,1,2406,,,,,B03
Pc D_TPC_T1_131121,R1,20c,PcD,T1,2568,1,2568,,,,,C01
Pc D_TPC_T1_131121,R2,20c,PcD,T1,2547,1,2547,,,,,C02
Pc D_TPC_T1_131121,R3,20c,PcD,T1,2590,1,2590,,,,,C03
Pc D_TPC_T1_131121,R1,23c,PcD,T1,1994,1,1994,,,,,D02
Pc D_TPC_T1_131121,R2,23c,PcD,T1,2255,1,2255,,,,,D02
Pc D_TPC_T1_131121,R3,23c,PcD,T1,1594,1,1594,,,,,D03
Pc D_TPC_T1_131121,R1,25c,PcD,T1,2698,1,2698,,,,,E01
Pc D_TPC_T1_131121,R2,25c,PcD,T1,2608,1,2608,,,,,E02
Pc D_TPC_T1_131121,R3,25c,PcD,T1,2583,1,2583,,,,,E03
Pc D_TPC_T1_131121,R1,27c,PcD,T1,1674,1,1674,,,,,F01
Pc D_TPC_T1_131121,R2,27c,PcD,T1,1688,1,1688,,,,,F02
Pc D_TPC_T1_131121,R3,27c,PcD,T1,1640,1,1640,,,,,F03
Pc D_TPC_T1_131121,R1,29c,PcD,T1,537,1,537,,,,,G01
Pc D_TPC_T1_131121,R2,29c,PcD,T1,509,1,509,,,,,G02
Pc D_TPC_T1_131121,R3,29c,PcD,T1,485,1,485,,,,,G03
Pc D_TPC_T1_131121,R1,30c,PcD,T1,484,1,484,,,,,H01
Pc D_TPC_T1_131121,R2,30c,PcD,T1,470,1,470,,,,,H02
Pc D_TPC_T1_131121,R3,30c,PcD,T1,469,1,469,,,,,H03
Pc D_TPC_T2_141121,R1,15c,PcD,T2,2473,1,2473,,,,,A01
Pc D_TPC_T2_141121,R2,15c,PcD,T2,2621,1,2621,,,,,A02
Pc D_TPC_T2_141121,R3,15c,PcD,T2,2725,1,2725,,,,,A03
Pc D_TPC_T2_141121,R1,18c,PcD,T2,2971,1,2971,,,,,B01
Pc D_TPC_T2_141121,R2,18c,PcD,T2,3050,1,3050,,,,,B02
Pc D_TPC_T2_141121,R3,18c,PcD,T2,3200,1,3200,,,,,B03
Pc D_TPC_T2_141121,R1,20c,PcD,T2,3573,1,3573,,,,,C01
Pc D_TPC_T2_141121,R2,20c,PcD,T2,3492,1,3492,,,,,C02
Pc D_TPC_T2_141121,R3,20c,PcD,T2,3477,1,3477,,,,,C03
Pc D_TPC_T2_141121,R1,23c,PcD,T2,2451,1,2451,,,,,D02
Pc D_TPC_T2_141121,R2,23c,PcD,T2,2669,1,2669,,,,,D02
Pc D_TPC_T2_141121,R3,23c,PcD,T2,1814,1,1814,,,,,D03
Pc D_TPC_T2_141121,R1,25c,PcD,T2,3856,1,3856,,,,,E01
Pc D_TPC_T2_141121,R2,25c,PcD,T2,3772,1,3772,,,,,E02
Pc D_TPC_T2_141121,R3,25c,PcD,T2,3587,1,3587,,,,,E03
Pc D_TPC_T2_141121,R1,27c,PcD,T2,1757,1,1757,,,,,F01
Pc D_TPC_T2_141121,R2,27c,PcD,T2,1849,1,1849,,,,,F02
Pc D_TPC_T2_141121,R3,27c,PcD,T2,1767,1,1767,,,,,F03
Pc D_TPC_T2_141121,R1,29c,PcD,T2,488,1,488,,,,,G01
Pc D_TPC_T2_141121,R2,29c,PcD,T2,525,1,525,,,,,G02
Pc D_TPC_T2_141121,R3,29c,PcD,T2,436,1,436,,,,,G03
Pc D_TPC_T2_141121,R1,30c,PcD,T2,442,1,442,,,,,H01
Pc D_TPC_T2_141121,R2,30c,PcD,T2,474,1,474,,,,,H02
Pc D_TPC_T2_141121,R3,30c,PcD,T2,552,1,552,,,,,H03
Pc D_TPC_T3_151121,R1,15c,PcD,T3,2948,1,2948,,,,,A01
Pc D_TPC_T3_151121,R2,15c,PcD,T3,2992,1,2992,,,,,A02
Pc D_TPC_T3_151121,R3,15c,PcD,T3,3074,1,3074,,,,,A03
Pc D_TPC_T3_151121,R1,18c,PcD,T3,3662,1,3662,,,,,B01
Pc D_TPC_T3_151121,R2,18c,PcD,T3,3616,1,3616,,,,,B02
Pc D_TPC_T3_151121,R3,18c,PcD,T3,3801,1,3801,,,,,B03
Pc D_TPC_T3_151121,R1,20c,PcD,T3,4352,1,4352,,,,,C01
Pc D_TPC_T3_151121,R2,20c,PcD,T3,4505,1,4505,,,,,C02
Pc D_TPC_T3_151121,R3,20c,PcD,T3,4669,1,4669,,,,,C03
Pc D_TPC_T3_151121,R1,23c,PcD,T3,3264,1,3264,,,,,D02
Pc D_TPC_T3_151121,R2,23c,PcD,T3,3877,1,3877,,,,,D02
Pc D_TPC_T3_151121,R3,23c,PcD,T3,2313,1,2313,,,,,D03
Pc D_TPC_T3_151121,R1,25c,PcD,T3,5238,1,5238,,,,,E01
Pc D_TPC_T3_151121,R2,25c,PcD,T3,5423,1,5423,,,,,E02
Pc D_TPC_T3_151121,R3,25c,PcD,T3,4923,1,4923,,,,,E03
Pc D_TPC_T3_151121,R1,27c,PcD,T3,1987,1,1987,,,,,F01
Pc D_TPC_T3_151121,R2,27c,PcD,T3,2090,1,2090,,,,,F02
Pc D_TPC_T3_151121,R3,27c,PcD,T3,2105,1,2105,,,,,F03
Pc D_TPC_T3_151121,R1,29c,PcD,T3,523,1,523,,,,,G01
Pc D_TPC_T3_151121,R2,29c,PcD,T3,472,1,472,,,,,G02
Pc D_TPC_T3_151121,R3,29c,PcD,T3,476,1,476,,,,,G03
Pc D_TPC_T3_151121,R1,30c,PcD,T3,458,1,458,,,,,H01
Pc D_TPC_T3_151121,R2,30c,PcD,T3,459,1,459,,,,,H02
Pc D_TPC_T4_161121,R1,15c,PcD,T4,4116,1,4116,,,,,A01
Pc D_TPC_T4_161121,R2,15c,PcD,T4,4235,1,4235,,,,,A02
Pc D_TPC_T4_161121,R3,15c,PcD,T4,4020,1,4020,,,,,A03
Pc D_TPC_T4_161121,R1,18c,PcD,T4,5545,1,5545,,,,,B01
Pc D_TPC_T4_161121,R2,18c,PcD,T4,5575,1,5575,,,,,B02
Pc D_TPC_T4_161121,R3,18c,PcD,T4,5650,1,5650,,,,,B03
Pc D_TPC_T4_161121,R1,20c,PcD,T4,6882,1,6882,,,,,C01
Pc D_TPC_T4_161121,R2,20c,PcD,T4,7331,1,7331,,,,,C02
Pc D_TPC_T4_161121,R3,20c,PcD,T4,7242,1,7242,,,,,C03
Pc D_TPC_T4_161121,R1,23c,PcD,T4,5412,1,5412,,,,,D02
Pc D_TPC_T4_161121,R2,23c,PcD,T4,6230,1,6230,,,,,D02
Pc D_TPC_T4_161121,R3,23c,PcD,T4,3751,1,3751,,,,,D03
Pc D_TPC_T4_161121,R1,25c,PcD,T4,9097,1,9097,,,,,E01
Pc D_TPC_T4_161121,R2,25c,PcD,T4,8981,1,8981,,,,,E02
Pc D_TPC_T4_161121,R3,25c,PcD,T4,8110,1,8110,,,,,E03
Pc D_TPC_T4_161121,R1,27c,PcD,T4,2089,1,2089,,,,,F01
Pc D_TPC_T4_161121,R2,27c,PcD,T4,2328,1,2328,,,,,F02
Pc D_TPC_T4_161121,R3,27c,PcD,T4,2349,1,2349,,,,,F03
Pc D_TPC_T4_161121,R1,29c,PcD,T4,NA,1,#VALUE!,,,,,G01
Pc D_TPC_T4_161121,R2,29c,PcD,T4,NA,1,#VALUE!,,,,,G02
Pc D_TPC_T4_161121,R3,29c,PcD,T4,NA,1,#VALUE!,,,,,G03
Pc D_TPC_T4_161121,R1,30c,PcD,T4,NA,1,#VALUE!,,,,,H01
Pc D_TPC_T4_161121,R2,30c,PcD,T4,NA,1,#VALUE!,,,,,H02
Pc D_TPC_T4_161121,R3,30c,PcD,T4,NA,1,#VALUE!,,,,,H03
Pc D_TPC_T5_171121,R1,15c,PcD,T5,5671,1,5671,,,,,A01
Pc D_TPC_T5_171121,R2,15c,PcD,T5,5788,1,5788,,,,,A02
Pc D_TPC_T5_171121,R3,15c,PcD,T5,5669,1,5669,,,,,A03
Pc D_TPC_T5_171121,R1,18c,PcD,T5,8919,1,8919,,,,,B01
Pc D_TPC_T5_171121,R2,18c,PcD,T5,9269,1,9269,,,,,B02
Pc D_TPC_T5_171121,R3,18c,PcD,T5,9260,1,9260,,,,,B03
Pc D_TPC_T5_171121,R1,20c,PcD,T5,11258,1,11258,,,,,C01
Pc D_TPC_T5_171121,R2,20c,PcD,T5,11593,1,11593,,,,,C02
Pc D_TPC_T5_171121,R3,20c,PcD,T5,12739,1,12739,,,,,C03
Pc D_TPC_T5_171121,R1,23c,PcD,T5,10627,1,10627,,,,,D02
Pc D_TPC_T5_171121,R2,23c,PcD,T5,11588,1,11588,,,,,D02
Pc D_TPC_T5_171121,R3,23c,PcD,T5,6490,1,6490,,,,,D03
Pc D_TPC_T5_171121,R1,25c,PcD,T5,16025,1,16025,,,,,E01
Pc D_TPC_T5_171121,R2,25c,PcD,T5,16355,1,16355,,,,,E02
Pc D_TPC_T5_171121,R3,25c,PcD,T5,15041,1,15041,,,,,E03
Pc D_TPC_T5_171121,R1,27c,PcD,T5,2446,1,2446,,,,,F01
Pc D_TPC_T5_171121,R2,27c,PcD,T5,2480,1,2480,,,,,F02
Pc D_TPC_T5_171121,R3,27c,PcD,T5,2490,1,2490,,,,,F03
Pc D_TPC_T5_171121,R1,29c,PcD,T5,544,1,544,,,,,G01
Pc D_TPC_T5_171121,R2,29c,PcD,T5,561,1,561,,,,,G02
Pc D_TPC_T5_171121,R3,29c,PcD,T5,549,1,549,,,,,G03
Pc D_TPC_T5_171121,R1,30c,PcD,T5,532,1,532,,,,,H01
Pc D_TPC_T5_171121,R2,30c,PcD,T5,586,1,586,,,,,H02
Pc D_TPC_T5_171121,R3,30c,PcD,T5,564,1,564,,,,,H03
Pc D_TPC_T6_181121,R1,15c,PcD,T6,6987,1,6987,,,,,A01
Pc D_TPC_T6_181121,R2,15c,PcD,T6,6810,1,6810,,,,,A02
Pc D_TPC_T6_181121,R3,15c,PcD,T6,6616,1,6616,,,,,A03
Pc D_TPC_T6_181121,R1,18c,PcD,T6,11710,1,11710,,,,,B01
Pc D_TPC_T6_181121,R2,18c,PcD,T6,11974,1,11974,,,,,B02
Pc D_TPC_T6_181121,R3,18c,PcD,T6,11330,1,11330,,,,,B03
Pc D_TPC_T6_181121,R1,20c,PcD,T6,15894,1,15894,,,,,C01
Pc D_TPC_T6_181121,R2,20c,PcD,T6,16059,1,16059,,,,,C02
Pc D_TPC_T6_181121,R3,20c,PcD,T6,15984,1,15984,,,,,C03
Pc D_TPC_T6_181121,R1,23c,PcD,T6,15081,1,15081,,,,,D02
Pc D_TPC_T6_181121,R2,23c,PcD,T6,16476,1,16476,,,,,D02
Pc D_TPC_T6_181121,R3,23c,PcD,T6,9591,1,9591,,,,,D03
Pc D_TPC_T6_181121,R1,25c,PcD,T6,22723,1,22723,,,,,E01
Pc D_TPC_T6_181121,R2,25c,PcD,T6,21974,1,21974,,,,,E02
Pc D_TPC_T6_181121,R3,25c,PcD,T6,21171,1,21171,,,,,E03
Pc D_TPC_T6_181121,R1,27c,PcD,T6,2655,1,2655,,,,,F01
Pc D_TPC_T6_181121,R2,27c,PcD,T6,2585,1,2585,,,,,F02
Pc D_TPC_T6_181121,R3,27c,PcD,T6,2752,1,2752,,,,,F03
Pc D_TPC_T6_181121,R1,29c,PcD,T6,557,1,557,,,,,G01
Pc D_TPC_T6_181121,R2,29c,PcD,T6,586,1,586,,,,,G02
Pc D_TPC_T6_181121,R3,29c,PcD,T6,633,1,633,,,,,G03
Pc D_TPC_T6_181121,R1,30c,PcD,T6,599,1,599,,,,,H01
Pc D_TPC_T6_181121,R2,30c,PcD,T6,559,1,559,,,,,H02
Pc D_TPC_T6_181121,R3,30c,PcD,T6,526,1,526,,,,,H03
Pc D_TPC_T7_191121,R1,15c,PcD,T7,6082,1,6082,,,,,A01
Pc D_TPC_T7_191121,R2,15c,PcD,T7,5588,1,5588,,,,,A02
Pc D_TPC_T7_191121,R3,15c,PcD,T7,6261,1,6261,,,,,A03
Pc D_TPC_T7_191121,R1,18c,PcD,T7,15727,1,15727,,,,,B01
Pc D_TPC_T7_191121,R2,18c,PcD,T7,15695,1,15695,,,,,B02
Pc D_TPC_T7_191121,R3,18c,PcD,T7,15504,1,15504,,,,,B03
Pc D_TPC_T7_191121,R1,20c,PcD,T7,15315,1,15315,,,,,C01
Pc D_TPC_T7_191121,R2,20c,PcD,T7,22559,1,22559,,,,,C02
Pc D_TPC_T7_191121,R3,20c,PcD,T7,25698,1,25698,,,,,C03
Pc D_TPC_T7_191121,R1,23c,PcD,T7,26914,1,26914,,,,,D02
Pc D_TPC_T7_191121,R2,23c,PcD,T7,29159,1,29159,,,,,D02
Pc D_TPC_T7_191121,R3,23c,PcD,T7,15944,1,15944,,,,,D03
Pc D_TPC_T7_191121,R1,25c,PcD,T7,36860,1,36860,,,,,E01
Pc D_TPC_T7_191121,R2,25c,PcD,T7,34687,1,34687,,,,,E02
Pc D_TPC_T7_191121,R3,25c,PcD,T7,35055,1,35055,,,,,E03
Pc D_TPC_T7_191121,R1,27c,PcD,T7,3037,1,3037,,,,,F01
Pc D_TPC_T7_191121,R2,27c,PcD,T7,2989,1,2989,,,,,F02
Pc D_TPC_T7_191121,R3,27c,PcD,T7,2884,1,2884,,,,,F03
Pc D_TPC_T7_191121,R1,29c,PcD,T7,577,1,577,,,,,G01
Pc D_TPC_T7_191121,R2,29c,PcD,T7,572,1,572,,,,,G02
Pc D_TPC_T7_191121,R3,29c,PcD,T7,557,1,557,,,,,G03
Pc D_TPC_T7_191121,R1,30c,PcD,T7,410,1,410,,,,,H01
Pc D_TPC_T7_191121,R2,30c,PcD,T7,560,1,560,,,,,H02
Pc D_TPC_T7_191121,R3,30c,PcD,T7,564,1,564,,,,,H03
Pc D_TPC_T8_201121,R1,15c,PcD,T8,11185,1,11185,,,,,A01
Pc D_TPC_T8_201121,R2,15c,PcD,T8,10670,1,10670,,,,,A02
Pc D_TPC_T8_201121,R3,15c,PcD,T8,10341,1,10341,,,,,A03
Pc D_TPC_T8_201121,R1,18c,PcD,T8,22387,1,22387,,,,,B01
Pc D_TPC_T8_201121,R2,18c,PcD,T8,24161,1,24161,,,,,B02
Pc D_TPC_T8_201121,R3,18c,PcD,T8,22848,1,22848,,,,,B03
Pc D_TPC_T8_201121,R1,20c,PcD,T8,33527,1,33527,,,,,C01
Pc D_TPC_T8_201121,R2,20c,PcD,T8,33241,1,33241,,,,,C02
Pc D_TPC_T8_201121,R3,20c,PcD,T8,34482,1,34482,,,,,C03
Pc D_TPC_T8_201121,R1,23c,PcD,T8,35141,1,35141,,,,,D02
Pc D_TPC_T8_201121,R2,23c,PcD,T8,39527,1,39527,,,,,D02
Pc D_TPC_T8_201121,R3,23c,PcD,T8,22368,1,22368,,,,,D03
Pc D_TPC_T8_201121,R1,25c,PcD,T8,50419,1,50419,,,,,E01
Pc D_TPC_T8_201121,R2,25c,PcD,T8,49738,1,49738,,,,,E02
Pc D_TPC_T8_201121,R3,25c,PcD,T8,46820,1,46820,,,,,E03
Pc D_TPC_T8_201121,R1,27c,PcD,T8,3275,1,3275,,,,,F01
Pc D_TPC_T8_201121,R2,27c,PcD,T8,3183,1,3183,,,,,F02
